P10592	Q00402
P11484	P40354
Q06632	P35728
P39735	P25389
Q08723	Q04062
P14681	Q12338
P38191	P02994
Q12043	P38788
P25294	P29509
P40150	P0CH63
P07273	P20434
P25846	P39078
Q02159	P02829
P04050	Q00416
Q6WNK7	P22137
P53741	Q12514
Q12176	P05739
P20424	P38688
P47167	Q12748
P25385	P22214
P19735	P38972
P54784	P24482
P42846	P38011
P32790	Q04439
P50102	P39538
Q03178	P16474
Q06070	P11484
P43321	Q04048
P53040	P10664
P06782	Q42384
P54860	P25294
P32776	P36100
P40993	P50094
P53124	P10591
Q03330	P38198
P10591	P33334
P22515	P07342
P38798	P40150
P40962	P02829
P36018	P53108
P38080	P10592
P10591	P25846
P40092	P25591
P54861	P54861
P40487	P10592
P53598	P29509
P20795	P31539
P13382	P25294
P17883	P05754
P40499	P25694
P35845	P40510
Q04437	P09733
P11484	P23287
Q06494	P02829
P40957	P11484
Q12321	Q08278
Q06091	Q02521
P41808	P19882
Q12449	P32324
P10592	Q99394
P32590	Q12200
P32494	Q03330
P25389	Q02892
P38273	P40150
P15790	P32657
Q08826	P39081
P34072	P10592
P47025	P29509
P53165	P20604
P11484	Q12734
Q6WNK7	P21623
P32492	P0CS90
Q07457	P06104
P53940	P38786
P36100	P04050
P50077	Q99181
P29469	Q08496
P43572	P38806
P20457	P02994
P07703	P32316
P39987	Q02207
P53082	P47079
P15424	P14127
P12904	P15790
P53254	P14120
P47170	P53940
Q03654	P40565
Q12378	P10592
P53298	Q06162
P38129	P22137
Q04432	P11484
P33298	P43593
P40005	P48582
P32597	P10592
P38911	P25491
Q12379	P04173
Q12296	P16474
P04912	P13393
P43635	P19882
P42222	P10592
Q12090	P02365
P38241	P25293
P36149	P36149
P40970	P34730
P33322	P38706
Q08465	P10591
P11484	P47065
P54837	P32589
Q03897	P38690
P33416	Q06707
P04912	P38629
Q06504	P39744
Q12329	P35189
P49955	Q04693
P34730	Q08981
P04806	Q05979
P38816	P11484
P20081	P15108
P38820	P53923
P40055	P25558
P49704	P36517
P40961	P07259
P02829	P39925
P38986	P63279
Q06411	P38886
P29469	P47112
P32589	P32910
P11633	P38144
P11484	P40578
P40991	P38805
P30656	P38624
P06243	P38764
P32806	P32589
P53849	P11484
P38886	P38764
P32589	P48361
Q07381	P38333
Q03338	P54999
P53617	P11484
P38129	P21623
P32589	P0CX27
P46988	P52924
Q01477	Q12447
P32495	EBI-10916266
P02293	P54790
P40958	P53036
Q12208	P46988
P12866	P40318
P38915	P40413
P50086	P33298
Q08553	P16140
P11745	P20967
Q12161	P37366
P09734	P38764
P27692	Q00684
P10591	P53685
P32502	P61289
Q05787	Q08109
P38315	P02557
Q06160	P10591
P25036	P11484
P40150	P06785
P07703	P32327
P38249	P32497
P25294	P07273
P31334	Q03153
P32497	P19524
P32457	P14540
Q03308	P40495
P32589	P22804
P54115	P05317
Q12499	P11484
P53104	Q03976
Q08448	P00830
P53188	Q3E7Y3
Q06504	P33416
Q08444	Q99216
Q02486	P11484
P47147	P04050
P36775	P31539
P32836	P10592
P38130	P38815
P89102	P10081
P38302	Q92733
Q12365	Q12365
P32589	Q08774
Q04003	Q99314
P39014	P02557
P49090	P32906
P40512	P52286
P38911	Q03785
P41909	P38074
P05747	P38315
P38968	P15790
P17883	P32589
P40970	Q3E790
Q04947	Q12402
P10591	Q05027
P47173	P10591
P36173	Q12329
P32497	P46654
Q07350	P53622
Q03430	P40513
P53165	Q02892
P53824	P27637
P32337	Q12754
P39704	P49626
P40092	Q9UMX0
P07264	P10592
P53298	Q06411
Q03497	P07259
P10592	P35845
Q12416	P25302
P15646	Q06344
P32589	P53146
P38792	Q05636
P00546	P11484
P32469	P32324
P22209	P38074
Q12495	Q06680
Q06677	P34226
P38351	P19882
Q04773	Q06683
P21825	P38631
P38719	P06169
P32569	P32585
P22139	P11484
P54199	Q02159
P32340	P10592
P32350	P25555
P53734	P00549
Q12406	Q07980
P36149	Q03940
P38174	P32589
Q05899	Q02159
P14724	P38042
Q12000	Q02159
P25491	P32767
P23394	P02309
P29311	P38198
Q00362	P53538
P36224	Q07887
Q07457	P04912
P02309	EBI-10921233
P38764	P0CS90
Q01477	Q12159
P09440	P38011
P53971	Q12329
P09435	Q03897
P10591	P49960
P40546	Q06679
Q02199	P39731
Q12680	P10592
Q05776	P11484
P39015	Q07350
P38042	P53068
P38989	P32908
P54199	Q12143
P32589	P53125
P0C0X0	P46951
Q03373	P38694
Q03330	P38129
P10591	P10862
P40991	Q12176
Q01477	Q08689
Q06677	P53900
Q03246	P53305
P14741	P29311
Q04660	Q00684
P40856	P09733
P25847	P43609
P53911	P04050
P36519	P12687
Q07800	Q07949
Q02892	P10664
P25355	P00330
P38915	P25379
P47037	P05317
P27637	P05737
P38316	P09734
P02309	P05317
Q02336	P40014
P38954	Q03718
P32259	P11484
P49704	P19735
P18851	P39077
Q02795	P10592
Q12176	Q02892
P27466	P41811
P11484	Q12046
P27801	P39102
P38203	P21268
P53158	P35727
P32803	P09435
P10592	P53333
Q04437	P38324
P08521	P38316
P10592	P38922
P25491	P15992
P32910	P20434
P10592	P38715
P42943	P54838
Q08902	P29509
Q12178	P39101
Q12221	P16521
P37292	Q05931
P53941	P32565
P07260	P12962
P32589	P25623
P10862	P21264
P40075	P22203
P47171	P32480
P36068	P50094
Q00955	P48353
P53914	P40362
P20459	P02829
P32589	P14682
Q07349	P53940
P40005	P32908
P33749	P13393
P36004	P29311
Q12481	Q02354
Q00684	P0CS90
P19659	P53114
Q12247	P53863
P29496	P38132
P53324	P10592
P31244	P07267
P11746	P39678
P53219	P40433
P52919	P47069
P22515	P41940
P34233	P22579
Q08119	Q06677
Q04660	P0C2I0
P33203	Q06217
Q01477	P16862
P11484	P34241
P38779	O14455
P28004	Q5T124-6
P40570	P53550
P40060	Q12464
Q04599	P38151
P30657	P22141
P53091	Q04439
P14906	P15442
Q12220	P25635
P40433	Q07807
Q12343	P04161
P47138	Q04264
P38809	P10592
P50102	Q00955
P38883	P40010
Q04632	P16140
P11484	Q03280
Q00772	P19358
P50102	P53881
P89105	P17442
P40316	P11484
P38712	P39743
Q07798	P32790
P40449	P04147
P32467	P40495
Q99257	Q03220
P39998	P38203
P10591	Q12250
