org1	org2	norm(R-R0)	norm(R-R1)	sim_with_isorank-R(R0)	sim_with_isorank-R(R1)	Edge Correctness (R0)	Edge Correctness (R1)	Edge Correctness (R)	Symmetric substructure (S^3-R0)	Symmetric substructure (S^3-R1)	Symmetric substructure (S^3-R)	LCCS (R0)	LCCS (R1)	LCCS (R)	FC-molecular_function(R0)	FC-biological_process(R0)	FC-cellular_component(R0)	FC-molecular_function(R1)	FC-biological_process(R1)	FC-cellular_component(R1)	FC-molecular_function(R2)	FC-biological_process(R2)	FC-cellular_component(R2)	alpha
fly	bakers	0.0007727389969302183	0.0002368534356033528	0.4965	0.799	0.07005825242718447	0.1755496335776149	0.17820671080686792	0.02191663085517834	0.02191663085517834	0.02219426974143955	633	872	801	0.5049345303342357	0.2612129426669886	0.5421192917810126	0.5181999226160464	0.2669755969062531	0.5462342352520759	0.5133792349618083	0.267790727599566	0.5495802575741373	0.200000
fly	bakers	0.0010116214740889605	0.00017340333173010392	0.5015	0.7975	0.06826654240447344	0.1782477341389728	0.19352551984877125	0.021793177911321373	0.021793177911321373	0.02337695699952904	628	854	878	0.5058863627452047	0.2624080746299547	0.5438594478308015	0.5186661884903351	0.26675743128876783	0.546707204934159	0.5140004674522508	0.26727771089546243	0.5480551736237247	0.400000
fly	bakers	0.0009468315386954711	8.831407344018389e-05	0.5075	0.81	0.07408844065166796	0.17893491124260355	0.1856990394877268	0.021756960932441186	0.021756960932441186	0.02252329996548153	695	825	808	0.5133215711653241	0.2607136105700585	0.5389233400913006	0.5152983437078548	0.2660318961655233	0.5465644286546729	0.5169753467347401	0.2675916825642597	0.5504572412619333	0.600000
fly	bakers	0.0006132510288920286	2.6170261283928855e-05	0.508	0.8370000000000001	0.0703318858560794	0.175103734439834	0.1813754602684404	0.021336222462983025	0.021336222462983025	0.02201747556016956	677	762	772	0.512443962854856	0.26331722339144736	0.5417187270810148	0.513329343637331	0.26533290320986364	0.5478711370728852	0.515289404359551	0.2671008787259037	0.5500617851169733	0.800000
fly	mouse	0.0010253894399105225	0.0003741920306669664	0.7659999999999999	0.8975	0.029534313725490195	0.07001594896331738	0.07420091324200913	0.034507152963370535	0.034507152963370535	0.035703075957313236	17	14	19	0.5702867832143237	0.2685980492816437	0.5794215681790768	0.5678369545829388	0.2674462137819177	0.5823377703532135	0.5671691288968668	0.2670180347966547	0.5842711903745276	0.200000
fly	mouse	0.0013064978530365585	0.0002550259973939413	0.7879999999999999	0.92	0.028313400048816207	0.07156735751295337	0.0726883138289105	0.035199490324122014	0.035199490324122014	0.03526307372461219	8	23	23	0.5714164582379981	0.2682535556617772	0.5841884311409054	0.5702635098497504	0.26825835203102283	0.5842284177081469	0.5679770567943261	0.2682456324586493	0.5837246018596792	0.400000
fly	mouse	0.0012078590929204029	0.00012072870531535967	0.8105	0.941	0.028491073612130106	0.07337355291048428	0.07293570360525004	0.03587372448979592	0.03587372448979592	0.035300739787713094	15	23	23	0.5741277782887858	0.2678758933764693	0.5790079281654771	0.5735171243226587	0.26993687029671765	0.5861864775905468	0.5701992730910483	0.2693906371386928	0.5832027498968156	0.600000
fly	mouse	0.000774553743316112	3.20141601614298e-05	0.833	0.9575	0.02866203195511648	0.06954671903125513	0.07006157430520886	0.034106412005457026	0.034106412005457026	0.03412498986787712	10	23	23	0.5753652562450347	0.2675847308187605	0.5803539182977318	0.5734561548441685	0.2705831415667798	0.5864555061217575	0.5709618065272941	0.27025784229518224	0.5857229479574185	0.800000
fly	rat	0.0034002376045464684	0.0015328354592556092	0.355	0.475	0.01877415792379901	0.037967995169082135	0.0439380127620784	0.02098894220738577	0.02098894220738577	0.030198609109704906	87	52	64	0.4944512154919126	0.19102685269186792	0.4282282595865011	0.4364388949743975	0.17232349298426292	0.3991445009697788	0.3865662533245633	0.15524205447172346	0.3719399727331727	0.200000
fly	rat	0.003907770641812722	0.0008574238182240787	0.365	0.4985	0.017553559087767796	0.03603260455549631	0.04757253101494578	0.02001862197392924	0.02001862197392924	0.032009990797949264	56	48	76	0.4945133346331554	0.19071392599628667	0.4283982416464493	0.43418679483703104	0.170723695337723	0.40027165052004215	0.38946381592274576	0.15669509047661967	0.3711536894593615	0.400000
