From	To
Q03088	4932.YPL032C
P38276	4932.YBR137W
P48558	4932.YNL305C
P33993	9606.ENSP00000307288
Q12199	4932.YPR040W
P53049	4932.YGR281W
P60468	9606.ENSP00000223641
P32832	4932.YMR091C
P21951	4932.YNL262W
P25385	4932.YLR078C
P53552	4932.YNL139C
P24276	4932.YDR293C
P53123	4932.YGL136C
P34224	4932.YBL059W
P53140	4932.YGL107C
Q96M27	9606.ENSP00000421965
Q07468	4932.YDL077C
Q9SL65	3702.AT2G20160.1
Q07979	4932.YLR033W
Q06178	4932.YLR328W
Q04978	4932.YML053C
P53188	4932.YGL029W
P40072	4932.YER116C
Q06681	4932.YDR326C
P53012	4932.YGL126W
P38361	4932.YBR296C
P53289	4932.YGR161C
P11655	4932.YNR026C
P38121	4932.YBL035C
P10080	4932.YHL034C
Q12003	4932.YPL236C
Q03654	4932.YMR213W
P24031	4932.YBR092C
Q12674	4932.YMR162C
P40208	4932.YMR135C
P06536	10116.ENSRNOP00000019409
Q12476	4932.YDL175C
P24813	4932.YDR423C
P40567	4932.YIR009W
Q08747	4932.YOR295W
P53507	4932.YNL070W
Q06410	4932.YLR423C
P36137	4932.YKR044W
Q12411	4932.YOL091W
Q12329	4932.YDR171W
Q06102	4932.YPR107C
P53851	4932.YNL253W
Q15906	9606.ENSP00000346464
P24279	4932.YEL032W
P39078	4932.YDL143W
P34244	4932.YKL101W
P05759	4932.YLR167W
P32794	4932.YLR397C
P53963	4932.YNL034W
Q12059	4932.YPL003W
P54074	4932.YMR119W
P43682	4932.YKL006C-A
Q03897	4932.YDR128W
P32833	4932.YBR060C
P53139	4932.YGL108C
P01011	9606.ENSP00000450540
P39525	4932.YER061C
P15873	4932.YBR088C
P53091	4932.YGL201C
P47187	4932.YJR161C
P36173	4932.YKR106W
Q9H9H4	9606.ENSP00000267202
P25338	4932.YGL010W
P54730	4932.YMR067C
P53969	4932.YNL026W
Q3E7C1	4932.YDR079C-A
P38816	4932.YHR106W
P32783	4932.YBR236C
P47131	4932.YJR085C
P11491	4932.YDR481C
P32629	4932.YEL036C
P53914	4932.YNL132W
P42575	9606.ENSP00000312664
Q12347	4932.YLR097C
Q08687	4932.YOR252W
Q03099	4932.YML133C
P53924	4932.YNL116W
P50084	4932.YGR230W
P50080	4932.YGR224W
Q04603	4932.YDR121W
P36172	4932.YKR105C
Q99614	9606.ENSP00000231238
P40539	4932.YIL028W
P07342	4932.YMR108W
P53045	4932.YGR060W
P38688	4932.YPL210C
P39012	4932.YLR088W
P40481	4932.YIL110W
P32569	4932.YER022W
Q02721	4932.YLR329W
Q12216	4932.YOR156C
P40504	4932.YIL085C
Q8NF64	9606.ENSP00000311778
P26781	4932.YBR048W
Q06032	4932.YLR394W
P53318	4932.YGR255C
P38627	4932.YJR103W
P36105	4932.YKL006W
P05986	4932.YKL166C
Q01590	4932.YLR026C
P14832	4932.YDR155C
P40556	4932.YIL006W
P32468	4932.YHR107C
Q04526	4932.YML083C
Q3E6R5	4932.YDR381C-A
P40563	4932.YIR003W
P22234	9606.ENSP00000382595
Q12247	4932.YLR068W
P18496	4932.YLR393W
P35208	4932.YJL127C
Q3E841	4932.YNR034W-A
P47175	4932.YJR147W
Q05827	4932.YMR251W-A
P40509	4932.YIL076W
O13565	4932.YLR358C
P40038	4932.YER059W
Q9NTM9	9606.ENSP00000359507
P39538	4932.YJL197W
Q94A97	3702.AT1G78870.1
Q03759	4932.YML108W
P25270	4932.YOR201C
Q12406	4932.YPR034W
P00445	4932.YJR104C
P32831	4932.YBR212W
Q12236	4932.YOL100W
P36528	4932.YNL252C
Q04511	4932.YML088W
P25369	4932.YCL034W
P53892	4932.YNL164C
Q08777	4932.YOR306C
P53890	4932.YNL166C
Q04502	4932.YML089C
P40029	4932.YER042W
P53046	4932.YGR070W
P53177	4932.YGL050W
P38112	4932.YBR142W
P04819	4932.YDL164C
Q12004	4932.YPR056W
P10870	4932.YDL194W
Q03860	4932.YDR100W
P38932	4932.YGL095C
P46675	4932.YLR045C
Q05676	4932.YEL059C-A
O60232	9606.ENSP00000312318
P50264	4932.YMR020W
Q00947	4932.YDR463W
P50276	4932.YGR055W
Q05533	4932.YDR287W
Q12349	4932.YLR295C
Q02866	4932.YPL070W
Q99339	4932.YLL065W
P40020	4932.YER032W
Q12107	4932.YLR102C
P13393	4932.YER148W
P53239	4932.YGR062C
P40960	4932.YDR488C
P38830	4932.YHR124W
P06102	4932.YIL038C
P47099	4932.YJR028W
P40367	4932.YJL062W
Q12416	4932.YOR083W
Q08811	4932.YOR345C
Q03913	4932.YDR136C
P53916	4932.YNL128W
P53051	4932.YGR287C
P33307	4932.YGL238W
Q12516	4932.YDL133W
P38845	4932.YHR146W
P0CD91	4932.YPR192W
Q04697	4932.YML048W
P43594	4932.YFR011C
Q12224	4932.YPL089C
P38113	4932.YBR145W
P00958	4932.YGR264C
Q06339	4932.YDR362C
P38180	4932.YBL081W
P47145	4932.YJR107W
Q01766	4932.YPR005C
Q12009	4932.YDL201W
P43534	4932.YFL058W
P14136	9606.ENSP00000468500
P43563	4932.YFL034C-B
P53157	4932.YGL080W
P50277	4932.YNR058W
Q03083	4932.YPL034W
P35845	4932.YAR042W
Q04636	4932.YML069W
P22219	4932.YBR097W
P32828	4932.YDL013W
P38853	4932.YHR158C
P25375	4932.YCL057W
P38852	4932.YHR156C
P14317	9606.ENSP00000320176
P38703	4932.YHL003C
Q9UKT9	9606.ENSP00000344544
Q08693	4932.YOR256C
P38191	4932.YBL049W
Q06338	4932.YDR361C
Q12387	4932.YOL076W
Q96IK5	9606.ENSP00000282570
O13329	4932.YDR110W
P53882	4932.YNL176C
P50947	4932.YNL097C
P0C2H6	4932.YHR010W
Q12672	4932.YPL079W
P21304	4932.YLR196W
P38009	4932.YMR120C
P42835	4932.YNL327W
P53866	4932.YNL224C
Q9UPY8	9606.ENSP00000233121
Q9HCK0	9606.ENSP00000362760
P32837	4932.YDL210W
P25349	4932.YCR004C
P53152	4932.YGL087C
P18851	4932.YOR212W
P35182	4932.YDL006W
P50111	4932.YMR273C
P27636	4932.YAR019C
P38307	4932.YBR201W
P89102	4932.YDR166C
P43560	4932.YFL042C
Q00245	4932.YIL118W
P37254	4932.YNR033W
Q12027	4932.YDL176W
P38971	4932.YNL270C
Q9UJX6	9606.ENSP00000314004
P53243	4932.YGR067C
P32490	4932.YOR231W
P38179	4932.YBL082C
Q03964	4932.YDR170W-A
P47988	4932.YOR337W
P24871	4932.YLR210W
P17558	4932.YOR158W
P38798	4932.YHR077C
P15315	4932.YGL166W
P41800	4932.YLL006W
P38860	4932.YHR168W
P40434	4932.YIL177C
P00572	4932.YJR057W
Q04119	4932.YDR452W
P32379	4932.YGR253C
P49626	4932.YDR012W
P27637	4932.YAR014C
Q06598	4932.YPR201W
P39943	4932.YER028C
P33448	4932.YOR045W
P10174	4932.YMR256C
Q03612	4932.YER138C
P30605	4932.YDR497C
P46654	4932.YLR048W
P40303	4932.YOL038W
