Species A	Species B	SVD embedding	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	10	10	0.07690663805112757	0.02133500638057832
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	10	20	0.10998212974822415	0.023403354011831936
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	10	30	0.15268178467793547	0.02801707321164915
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	10	40	0.18367361311699626	0.025692205632666047
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	10	50	0.1511966023809789	0.025845015542666803
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	10	100	0.1724118082710703	0.03446561285477993
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	20	10	0.09113572831676142	0.01566087732172264
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	20	20	0.11677924722474235	0.026114564498329065
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	20	30	0.15484002635183708	0.03235089738801004
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	20	40	0.17721932497420975	0.024756285489072664
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	20	50	0.15119737588183207	0.022112240941163874
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	20	100	0.17707896021851727	0.03432594717941369
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	30	10	0.10303472127400848	0.01659392299287896
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	30	20	0.12402471832272781	0.02161106853752096
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	30	30	0.15742725577592093	0.027144621865948623
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	30	40	0.17899022786768135	0.022580301436193956
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	30	50	0.15512652044920527	0.02207883042208293
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	30	100	0.17629982010628087	0.0363667097703243
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	40	10	0.10823242579389118	0.02408957664570724
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	40	20	0.12538840032689477	0.02446560590936213
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	40	30	0.16045186698614283	0.029878373873311468
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	40	40	0.1749285709286728	0.022895002550649572
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	40	50	0.15561097632971976	0.02610158381994548
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	40	100	0.17780411101125887	0.03683542197397557
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	50	10	0.11207515468155027	0.025760417143509552
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	50	20	0.12531980519427144	0.02612332861294892
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	50	30	0.16278139469527847	0.03043938761222757
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	50	40	0.17498752420792624	0.02092820435335309
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	50	50	0.1588408871806179	0.024906276593575836
rat	bakers	250	50	molecular_function	top-1-acc	mundo4-knn-weight-0.660	50	100	0.17854211839133266	0.03685132003017401
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	10	10	0.06840961388972665	0.013210342780467491
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	10	20	0.08154883829981076	0.0150144786772261
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	10	30	0.0965565855183583	0.014573175396282518
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	10	40	0.10274976165421643	0.014800287841612577
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	10	50	0.09691498511482731	0.013225468774264582
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	10	100	0.10732416207226896	0.012329225877313603
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	20	10	0.07594830363526231	0.012135987143637747
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	20	20	0.08710897195296012	0.015763909564686977
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	20	30	0.10032197496431952	0.016748712611029667
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	20	40	0.10499245421246381	0.01588526117977717
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	20	50	0.10064006259561575	0.013032320245428513
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	20	100	0.11047145267545724	0.01236319828672119
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	10	0.08013454393624286	0.01154124542776034
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	20	0.09076508657887049	0.014911912102001526
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	30	0.10334303706779402	0.015867018687777415
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	40	0.10765764487565477	0.015714637182726414
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	50	0.10404366612068991	0.012286020417608429
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	30	100	0.11164341198736519	0.012246006787982032
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	10	0.08457765828866656	0.014356602807686787
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	20	0.09519730288960386	0.017729970945282603
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	30	0.10758290578729687	0.018060736922222147
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	40	0.11005825351092147	0.016848118306066636
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	50	0.10662835377306049	0.014879371415506012
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	40	100	0.11400227189894549	0.013344826413816825
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	10	0.08998979981862154	0.013417218724747737
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	20	0.09874054447762645	0.016334177988565884
rat	bakers	250	50	molecular_function	aupr	mundo4-knn-weight-0.660	50	30	0.11087905923618346	0.01745338544735191
