Species A	Species B	SVD embedding	Landmark no	GO type	Scoring metric	Prediction method	kA	kB	Average score	Standard deviation
rat	bakers	250	500	molecular_function	top-1-acc	dsd-knn	10	-1	0.02711872160127097	0.010996533294700033
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	10	10	0.11694398541001923	0.02019610768706347
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	10	20	0.13504823092353144	0.019766127632076757
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	10	30	0.17963608378494142	0.02116624485873929
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	10	40	0.199282050766926	0.02809658994767114
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	10	50	0.20159375792897088	0.02631067929710315
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	10	100	0.20313523525232471	0.027745997282552743
rat	bakers	250	500	molecular_function	top-1-acc	dsd-knn	20	-1	0.03630586539037248	0.017697752738521248
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	20	10	0.1200389828996894	0.022722169292440718
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	20	20	0.14062544810962735	0.01616979152599188
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	20	30	0.18425636553961403	0.021626192459097072
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	20	40	0.19854404338685222	0.027941608660202684
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	20	50	0.20159375792897088	0.02631067929710315
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	20	100	0.20313523525232471	0.027745997282552743
rat	bakers	250	500	molecular_function	top-1-acc	dsd-knn	30	-1	0.04909059375522482	0.012824109431690964
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	30	10	0.12486297704981535	0.02027073582911506
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	30	20	0.1492872071876538	0.014953399228581143
rat	bakers	250	500	molecular_function	top-1-acc	mundo4-knn-weight-0.800	30	30	0.18810324464266195	0.025454001830698327
