From	To
A1Z9S6	7227.FBpp0086630
Q9VCU8	7227.FBpp0083701
Q9V4D8	7227.FBpp0305856
A1Z6H0	7227.FBpp0085373
Q9VAG2	7227.FBpp0084851
Q9NIP6	7227.FBpp0084880
Q9VJS7	7227.FBpp0080207
Q9VYR0	7227.FBpp0073458
Q9VQD6	7227.FBpp0077377
Q9VIP1	7227.FBpp0080872
Q9VJN8	7227.FBpp0080314
Q9V9S0	7227.FBpp0085251
Q9VK14	7227.FBpp0080028
A1Z6X6	7227.FBpp0088085
Q9VSH1	7227.FBpp0076430
Q9VX80	7227.FBpp0074160
A0A0B4KGA3	7227.FBpp0110176
Q9VCM3	7227.FBpp0289145
Q9VK64	7227.FBpp0079989
Q9VQK3	7227.FBpp0077332
Q9VEX0	7227.FBpp0082725
Q8IR10	7227.FBpp0074100
Q9VLU6	7227.FBpp0079154
Q9VRW9	7227.FBpp0292362
Q9VTG7	7227.FBpp0075919
Q7JUX9	7227.FBpp0085875
P04412	7227.FBpp0071571
Q9VNL6	7227.FBpp0078236
Q9VT67	7227.FBpp0112070
Q9VR35	7227.FBpp0290163
O61491	7227.FBpp0086485
P16371	7227.FBpp0089115
Q9VJD6	7227.FBpp0290124
Q8IN08	7227.FBpp0083641
Q9VMT4	7227.FBpp0078725
A1Z6H6	7227.FBpp0085393
P13468	7227.FBpp0070380
Q9VMW9	7227.FBpp0078685
Q9BXW9	9606.ENSP00000287647
Q8SYC5	7227.FBpp0084442
P56672	7227.FBpp0288728
Q9VSF9	7227.FBpp0076442
P25992	7227.FBpp0084784
Q9VKG8	7227.FBpp0079831
Q9VG04	7227.FBpp0082187
Q9VKZ6	7227.FBpp0304057
P39769	7227.FBpp0070416
Q9W3A1	7227.FBpp0071292
Q9VFC2	7227.FBpp0082595
Q9VNS0	7227.FBpp0088574
Q9VWF4	7227.FBpp0074510
Q7K0S1	7227.FBpp0087956
Q9W5C2	7227.FBpp0070162
Q8MSH5	7227.FBpp0291067
Q9V3U2	7227.FBpp0305289
Q9VSE2	7227.FBpp0076412
P46223	7227.FBpp0070877
P91927	7227.FBpp0072255
Q23976	7227.FBpp0081861
Q9VC07	7227.FBpp0084094
Q9VJP9	7227.FBpp0302578
Q9W078	7227.FBpp0072669
Q9W425	7227.FBpp0292404
Q9VYR5	7227.FBpp0073425
Q8IRY7	7227.FBpp0113052
Q9VU88	7227.FBpp0075555
Q9W0Q3	7227.FBpp0072449
Q7K1V5	7227.FBpp0078273
Q9VIY5	7227.FBpp0080768
Q9U1I1	7227.FBpp0302896
A1Z9I5	7227.FBpp0086767
Q9W533	7227.FBpp0070313
Q53EZ4	9606.ENSP00000360540
Q9W4Z4	7227.FBpp0070390
A1Z7Q5	7227.FBpp0087707
Q7JZ94	7227.FBpp0086755
Q9VCG0	7227.FBpp0083881
Q9I7U5	7227.FBpp0072721
Q9W1A3	7227.FBpp0072162
Q9VCW0	7227.FBpp0083726
Q9VRJ1	7227.FBpp0076871
Q7K486	7227.FBpp0085950
Q9VBD9	7227.FBpp0084428
P51592	7227.FBpp0081568
Q9VM77	7227.FBpp0078969
Q8SYN0	7227.FBpp0070176
Q9VES5	7227.FBpp0290087
O46200	7227.FBpp0073038
Q8IMG8	7227.FBpp0085175
Q8IQX7	7227.FBpp0074370
Q9VTE5	7227.FBpp0304954
Q9VZU7	7227.FBpp0072976
Q9VAW7	7227.FBpp0084648
Q6IDD9	7227.FBpp0293535
Q9VEK5	7227.FBpp0082878
Q9VS45	7227.FBpp0076595
Q9W269	7227.FBpp0112018
Q9VE78	7227.FBpp0083044
Q8IPL4	7227.FBpp0078687
Q9VXK0	7227.FBpp0074034
Q09332	7227.FBpp0074831
Q9VHJ7	7227.FBpp0081493
Q9VPR6	7227.FBpp0077734
Q9VJW9	7227.FBpp0111799
P32748	7227.FBpp0289671
A1Z6E8	7227.FBpp0085423
Q9W4L1	7227.FBpp0070623
Q9VDG2	7227.FBpp0083406
Q9VGZ4	7227.FBpp0081737
Q9VW56	7227.FBpp0303214
Q9VEV4	7227.FBpp0082766
Q7K161	7227.FBpp0086120
Q9VAE4	7227.FBpp0113063
Q9VYN3	7227.FBpp0073477
Q9VQS5	7227.FBpp0077218
Q9VKF9	7227.FBpp0079850
Q9W2T3	7227.FBpp0071420
Q9W4F5	7227.FBpp0070692
Q9V4N3	7227.FBpp0087979
Q9V5C6	7227.FBpp0089041
Q9VGV6	7227.FBpp0081774
Q9VU35	7227.FBpp0075609
Q9VH89	7227.FBpp0081564
Q9VHF6	7227.FBpp0081533
Q9VZE2	7227.FBpp0290000
Q9VXU3	7227.FBpp0073856
P40807	7227.FBpp0087939
Q9W4Q9	7227.FBpp0070552
Q9W2A3	7227.FBpp0071717
Q9VK63	7227.FBpp0302957
Q9VYV9	7227.FBpp0073378
Q9VA50	7227.FBpp0085033
Q9VVP3	7227.FBpp0074895
Q9VE85	7227.FBpp0082998
Q9VRR2	7227.FBpp0076785
Q9V9Q4	7227.FBpp0085258
P52654	7227.FBpp0084525
Q9VC94	7227.FBpp0084016
Q9V8G0	7227.FBpp0085846
Q9VK43	7227.FBpp0080008
Q9VTY6	7227.FBpp0075690
Q7JXC4	7227.FBpp0086051
Q9Y166	7227.FBpp0082215
Q9VVH6	7227.FBpp0074987
P09180	7227.FBpp0084617
Q9VQ77	7227.FBpp0077524
Q9V3X8	7227.FBpp0070240
A1Z7P5	7227.FBpp0087651
P28680	7237.FBpp0284809
Q9VX56	7227.FBpp0074199
Q9W363	7227.FBpp0071267
Q4V4H7	7227.FBpp0086910
Q9VGZ0	7227.FBpp0290498
Q9VC45	7227.FBpp0084071
Q8IQN0	7227.FBpp0075240
P46824	7227.FBpp0075683
Q8MT36	7227.FBpp0084636
Q8MT18	7227.FBpp0112201
Q9W239	7227.FBpp0071765
Q9W0M9	7227.FBpp0072496
Q9VLJ6	7227.FBpp0305608
Q9W1C5	7227.FBpp0072077
P28167	7227.FBpp0088139
Q9VLL1	7227.FBpp0079312
P40657	7227.FBpp0086702
Q9VRT6	7227.FBpp0076773
Q8SX86	7227.FBpp0073041
Q9VS07	7227.FBpp0076641
Q8T0Q4	7227.FBpp0087704
Q9VQJ7	7227.FBpp0077327
Q8MYW2	7227.FBpp0070079
Q9W5H1	7227.FBpp0305206
P12881	7227.FBpp0079538
Q03330	4932.YGR252W
Q9W3C3	7227.FBpp0305172
Q7K569	7227.FBpp0086442
Q9VZQ7	7227.FBpp0072933
Q9VWD6	7227.FBpp0301156
Q8IQG1	7227.FBpp0088371
Q27333	7227.FBpp0072004
P48610	7227.FBpp0076270
Q8T0S6	7227.FBpp0304253
Q9VRS4	7227.FBpp0076746
Q9W083	7227.FBpp0072661
P10627	7227.FBpp0071864
Q9VJL7	7227.FBpp0080387
Q9VMM6	7227.FBpp0078795
M9NEY8	7227.FBpp0306013
Q9VLC0	7227.FBpp0079409
Q9VXC2	7227.FBpp0074096
Q9V853	7227.FBpp0305371
Q9VEP6	7227.FBpp0082816
P05303	7227.FBpp0085193
Q7K306	7227.FBpp0086249
Q5U126	7227.FBpp0305270
Q9VL58	7227.FBpp0079487
Q9VB64	7227.FBpp0292832
Q9VGV9	7227.FBpp0112129
Q03427	7227.FBpp0305369
O77262	7227.FBpp0070359
Q9VTS9	7227.FBpp0075785
Q9VAT1	7227.FBpp0084695
O16867	7227.FBpp0074978
Q9VXK6	7227.FBpp0073947
Q9VT88	7227.FBpp0076030
Q9W1S5	7227.FBpp0071954
Q9VLZ8	7227.FBpp0079094
Q9VA10	7227.FBpp0085099
P42787	7227.FBpp0089126
Q9VX26	7227.FBpp0074251
Q9VEB2	7227.FBpp0083028
P10105	7227.FBpp0081194
Q9VHA5	7227.FBpp0081582
Q9W0I6	7227.FBpp0292309
Q9W147	7227.FBpp0072249
A1Z7C1	7227.FBpp0087867
