From	To
Q56NI9	9606.ENSP00000306999
Q9CQ22	10090.ENSMUSP00000033131
Q86SE5	9606.ENSP00000430128
P25685	9606.ENSP00000254322
P22091	10090.ENSMUSP00000125202
Q91Z31	10090.ENSMUSP00000029780
Q14582	9606.ENSP00000337889
P58871	10090.ENSMUSP00000107232
Q61098	10090.ENSMUSP00000103679
Q91XL1	10090.ENSMUSP00000038048
P49748	9606.ENSP00000438689
Q7Z6E9	9606.ENSP00000317872
P52756	9606.ENSP00000343054
Q9CR80	10090.ENSMUSP00000003123
Q62255	10090.ENSMUSP00000056967
Q9WTX2	10090.ENSMUSP00000002808
Q9JKF1	10090.ENSMUSP00000128278
Q9NUQ6	9606.ENSP00000482515
Q9ESS0	10090.ENSMUSP00000045838
Q8N567	9606.ENSP00000254037
P67778	10090.ENSMUSP00000119603
Q60636	10090.ENSMUSP00000101129
Q62432	10090.ENSMUSP00000130115
Q6PH08	10090.ENSMUSP00000087773
Q3ULD5	10090.ENSMUSP00000022148
Q96I15	9606.ENSP00000254663
Q9QXZ9	10090.ENSMUSP00000022331
P01135	9606.ENSP00000295400
Q8NFH4	9606.ENSP00000448054
O15235	9606.ENSP00000384952
Q9Y2P8	9606.ENSP00000371169
Q15370	9606.ENSP00000262306
P04792	9606.ENSP00000248553
P97346	10090.ENSMUSP00000021204
P39688	10090.ENSMUSP00000097547
P06899	9606.ENSP00000476136
P62906	9606.ENSP00000363018
P27361	9606.ENSP00000263025
Q9H8V3	9606.ENSP00000376457
A8MW92	9606.ENSP00000378784
Q14315	9606.ENSP00000327145
O14545	9606.ENSP00000257604
Q9D1K2	10090.ENSMUSP00000004396
Q99519	9606.ENSP00000364782
Q03157	10090.ENSMUSP00000006828
P18484	10116.ENSRNOP00000060992
Q8BNN1	10090.ENSMUSP00000130306
Q5SDA5	10090.ENSMUSP00000044521
Q9EQP2	10090.ENSMUSP00000028755
O43921	9606.ENSP00000215368
P11142	9606.ENSP00000432083
Q9WVG9	10090.ENSMUSP00000107765
Q9Z218	10090.ENSMUSP00000113441
Q9Z2A0	10090.ENSMUSP00000099991
P59281	10090.ENSMUSP00000036697
Q96HW7	9606.ENSP00000434466
Q9UL45	9606.ENSP00000220531
Q99NE5	10090.ENSMUSP00000095420
Q9Y276	9606.ENSP00000413908
Q9CPS7	10090.ENSMUSP00000020317
Q96GX5	9606.ENSP00000365107
E9Q4K7	10090.ENSMUSP00000098041
P62266	9606.ENSP00000296674
P26358	9606.ENSP00000352516
Q01405	10090.ENSMUSP00000021375
Q9CPR1	10090.ENSMUSP00000033973
Q8VDU5	10090.ENSMUSP00000112919
P19814	10116.ENSRNOP00000019713
P16371	7227.FBpp0089115
Q9BUQ8	9606.ENSP00000310723
Q80US4	10090.ENSMUSP00000046658
Q8K1X4	10090.ENSMUSP00000035400
P68104	9606.ENSP00000339063
B2RXC1	10090.ENSMUSP00000047562
O55042	10090.ENSMUSP00000109907
O88566	10090.ENSMUSP00000051331
P26196	9606.ENSP00000478754
Q91YI1	10090.ENSMUSP00000076081
P26041	10090.ENSMUSP00000113071
Q96EP5	9606.ENSP00000233078
Q9JIX8	10090.ENSMUSP00000022793
Q8R034	10090.ENSMUSP00000140967
Q9D6S9	10090.ENSMUSP00000062074
Q9JJV9	10090.ENSMUSP00000112838
Q9H2P0	9606.ENSP00000379346
Q80TS3	10090.ENSMUSP00000113482
Q9QY14	10090.ENSMUSP00000050445
Q8VI84	10090.ENSMUSP00000025963
Q8NA72	9606.ENSP00000410216
P61014	10090.ENSMUSP00000132743
Q8BZ98	10090.ENSMUSP00000064538
P51660	10090.ENSMUSP00000025385
Q9ET43	10090.ENSMUSP00000061928
Q9NRG9	9606.ENSP00000209873
Q8IWQ3	9606.ENSP00000371614
P26040	10090.ENSMUSP00000063734
Q06413	9606.ENSP00000340874
P20783	9606.ENSP00000397297
Q96NB3	9606.ENSP00000354518
Q14508	9606.ENSP00000361761
Q8NHM5	9606.ENSP00000366271
O95747	9606.ENSP00000311713
Q9NX55	9606.ENSP00000384474
Q7Z5J4	9606.ENSP00000323074
O07422	83332.Rv0178
O00442	9606.ENSP00000260563
Q96CS2	9606.ENSP00000282058
O60333	9606.ENSP00000263934
P97481	10090.ENSMUSP00000024954
Q8NBI5	9606.ENSP00000434515
P22907	10090.ENSMUSP00000076575
Q3UHD1	10090.ENSMUSP00000046097
P17879	10090.ENSMUSP00000133815
Q9NWZ3	9606.ENSP00000390651
P58389	10090.ENSMUSP00000046837
P26450	10090.ENSMUSP00000056774
P62877	9606.ENSP00000216225
Q13885	9606.ENSP00000369703
Q921H8	10090.ENSMUSP00000042351
P14115	10090.ENSMUSP00000076607
Q9UJX2	9606.ENSP00000378350
Q60610	10090.ENSMUSP00000126020
Q62645	10116.ENSRNOP00000028615
O75494	9606.ENSP00000420195
Q62219	10090.ENSMUSP00000068529
P63244	9606.ENSP00000426909
Q9JHP7	10090.ENSMUSP00000064500
Q96DN5	9606.ENSP00000287380
Q921U8	10090.ENSMUSP00000020721
P08887	9606.ENSP00000357470
Q8VCD7	10090.ENSMUSP00000030102
P52293	10090.ENSMUSP00000018506
O89023	10090.ENSMUSP00000033184
P29788	10090.ENSMUSP00000017488
P28066	9606.ENSP00000271308
P17679	10090.ENSMUSP00000033502
Q96FZ2	9606.ENSP00000372955
Q9BSH4	9606.ENSP00000258975
P62137	10090.ENSMUSP00000039109
Q9DBR0	10090.ENSMUSP00000002699
Q8WYB5	9606.ENSP00000287239
Q06265	9606.ENSP00000368984
Q9R0E1	10090.ENSMUSP00000004968
Q8K4Z2	10090.ENSMUSP00000099660
Q9Z254	10116.ENSRNOP00000005374
P57759	10090.ENSMUSP00000117347
P00558	9606.ENSP00000362413
Q6GQX6	10090.ENSMUSP00000103376
Q9JJ11	10090.ENSMUSP00000110069
Q8JZU2	10090.ENSMUSP00000003622
Q8N9R8	9606.ENSP00000362650
P51116	9606.ENSP00000250113
Q99JP6	10090.ENSMUSP00000117033
P26043	10090.ENSMUSP00000000590
Q8BWY7	10090.ENSMUSP00000102244
Q3UMC0	10090.ENSMUSP00000103747
Q15583	9606.ENSP00000327959
O54991	10090.ENSMUSP00000099398
P17012	10090.ENSMUSP00000085423
O88522	10090.ENSMUSP00000109762
Q9WUT3	10090.ENSMUSP00000024575
P09012	9606.ENSP00000243563
Q8N6M0	9606.ENSP00000285420
Q9Y2K7	9606.ENSP00000432786
O15155	9606.ENSP00000222547
P70662	10090.ENSMUSP00000118546
Q92824	9606.ENSP00000446280
P70663	10090.ENSMUSP00000031249
P13804	9606.ENSP00000452762
P30658	10090.ENSMUSP00000026662
Q13247	9606.ENSP00000244020
Q8VCQ3	10090.ENSMUSP00000097254
Q9Y5N5	9606.ENSP00000303584
P60891	9606.ENSP00000361512
P85037	9606.ENSP00000328720
Q13309	9606.ENSP00000274255
Q9ULW0	9606.ENSP00000300403
P24043	9606.ENSP00000400365
P25490	9606.ENSP00000262238
P31948	9606.ENSP00000351646
Q9Y399	9606.ENSP00000360850
Q9H0A8	9606.ENSP00000267935
Q6NS38	9606.ENSP00000398181
O88796	10090.ENSMUSP00000025714
Q3TTA7	10090.ENSMUSP00000110115
Q9WVE8	10090.ENSMUSP00000130098
Q9CX84	10090.ENSMUSP00000002532
P62876	10090.ENSMUSP00000043204
Q9UK85	9606.ENSP00000221498
O35737	10090.ENSMUSP00000076989
Q5RL51	10090.ENSMUSP00000029651
Q96EV2	9606.ENSP00000384160
Q3TN34	10090.ENSMUSP00000039707
Q9QZM3	10090.ENSMUSP00000045562
O95707	9606.ENSP00000465213
Q14669	9606.ENSP00000373696
Q9JLC6	10090.ENSMUSP00000023024
Q9EQQ0	10090.ENSMUSP00000027956
Q6A068	10090.ENSMUSP00000024727
Q9WUM5	10090.ENSMUSP00000065113
P40201	10090.ENSMUSP00000024627
Q13636	9606.ENSP00000461945
P59016	10090.ENSMUSP00000032749
P32507	10090.ENSMUSP00000074898
P43241	10090.ENSMUSP00000031650
A2A259	10090.ENSMUSP00000045675
Q8VEB4	10090.ENSMUSP00000034377
P28665	10090.ENSMUSP00000032228
P19474	9606.ENSP00000254436
P13379	10090.ENSMUSP00000025571
Q68FD9	10090.ENSMUSP00000130121
Q3UNW5	10090.ENSMUSP00000027629
Q62441	10090.ENSMUSP00000057527
Q9NW97	9606.ENSP00000394899
P27612	10090.ENSMUSP00000102724
P40338	10090.ENSMUSP00000039418
Q9H4A6	9606.ENSP00000265070
P42228	10090.ENSMUSP00000027277
Q15287	9606.ENSP00000457723
P23727	9913.ENSBTAP00000014594
O08583	10090.ENSMUSP00000026125
Q8C6B9	10090.ENSMUSP00000061167
P68368	10090.ENSMUSP00000140657
Q80VP2	10090.ENSMUSP00000045827
Q9JLV1	10090.ENSMUSP00000033136
Q9BQ24	9606.ENSP00000216602
Q8CHY6	10090.ENSMUSP00000070229
P46527	9606.ENSP00000228872
P30051	10090.ENSMUSP00000060671
Q83FA5	227377.CBU_0041
Q15643	9606.ENSP00000267622
P49588	9606.ENSP00000261772
Q8BGG7	10090.ENSMUSP00000043865
E9QAT4	10090.ENSMUSP00000109716
P97348	10090.ENSMUSP00000036031
Q9D880	10090.ENSMUSP00000080614
Q9D6K8	10090.ENSMUSP00000033541
Q03137	10090.ENSMUSP00000027451
Q3UHC7	10090.ENSMUSP00000088532
Q3U0X6	10090.ENSMUSP00000104783
Q9BQA1	9606.ENSP00000235090
Q8BSP2	10090.ENSMUSP00000074139
Q9H707	9606.ENSP00000375582
P63159	10116.ENSRNOP00000040874
Q9NYB0	9606.ENSP00000300086
