From	To
B1WC56	10116.ENSRNOP00000005688
Q6AY53	10116.ENSRNOP00000005656
Q9C0J8	9606.ENSP00000325377
Q94B65	3702.AT4G31600.1
Q9EP88	10116.ENSRNOP00000009637
Q8GY55	3702.AT4G14720.1
Q93V47	3702.AT3G22942.1
Q99MZ8	10116.ENSRNOP00000005522
Q42553	3702.AT3G02780.1
O60812	9606.ENSP00000479365
Q42262	3702.AT4G34670.1
P56574	10116.ENSRNOP00000019059
P07823	10036.XP_005082124.1
Q5U3Y8	10116.ENSRNOP00000022864
Q9SMP3	3702.AT3G48550.1
P19456	3702.AT4G30190.2
D4ACN3	10116.ENSRNOP00000019245
Q96299	3702.AT2G42590.3
Q91Y81	10116.ENSRNOP00000024261
Q01459	9606.ENSP00000359664
O04551	3702.AT1G27020.1
Q9C920	3702.AT1G53000.1
O82204	3702.AT2G19730.3
Q8H107	3702.AT4G26910.1
Q6P0K8	10116.ENSRNOP00000043950
Q39196	3702.AT4G00430.1
P11883	10116.ENSRNOP00000003182
Q9LNT6	3702.AT1G20100.1
Q9LFP7	3702.AT5G15080.1
Q9LSD6	3702.AT3G27000.1
Q62985	10116.ENSRNOP00000066048
Q96FJ2	9606.ENSP00000477310
O82499	3702.AT4G11175.1
Q9FLG2	3702.AT5G64560.1
Q5EBL4	9606.ENSP00000366070
Q9FMV1	3702.AT5G63510.2
Q9C7Y2	3702.AT1G32580.1
Q9M9A3	3702.AT1G49010.1
Q940C2	3702.AT5G52550.1
Q8L7D1	3702.AT3G05935.1
Q9SKI4	3702.AT2G06510.1
O22788	3702.AT2G33380.1
Q9SX83	3702.AT1G47530.1
P82471	10116.ENSRNOP00000019174
Q9LF51	3702.AT5G17510.1
Q58CM8	3702.AT5G38140.1
P22002	10116.ENSRNOP00000009268
Q9LXU9	3702.AT5G12900.1
Q7XJ61	3702.AT5G62950.3
P78344	9606.ENSP00000433664
Q68FS2	10116.ENSRNOP00000003046
Q5NFW7	177416.FTT_1096c
Q8GX62	3702.AT5G19920.1
B2RYP0	10116.ENSRNOP00000017254
F1S586	9823.ENSSSCP00000014491
D4A233	10116.ENSRNOP00000019468
O75923	9606.ENSP00000386881
Q9LUF3	3702.AT5G50580.2
Q9SVA3	3702.AT4G39550.1
Q9LFP0	3702.AT5G11160.1
Q8RWD9	3702.AT5G27630.1
P06782	4932.YDR477W
Q63610	10116.ENSRNOP00000023567
P49589	9606.ENSP00000369897
Q67ZB3	3702.AT5G48385.1
P42752	3702.AT2G22490.2
Q0WNR2	3702.AT1G10610.1
P19527	10116.ENSRNOP00000018599
Q9SN43	3702.AT4G18700.1
P61023	10116.ENSRNOP00000053243
Q68FS9	10116.ENSRNOP00000005260
O49627	3702.AT4G22220.1
Q9UHL4	9606.ENSP00000360635
Q9LXD8	3702.AT5G09750.1
Q62997	10116.ENSRNOP00000023667
Q93WB5	3702.AT1G14960.1
O65426	3702.AT4G21610.1
Q8GV05	3702.AT5G53200.1
P78559	9606.ENSP00000300231
P04797	10116.ENSRNOP00000040878
Q9LIA4	3702.AT3G29390.1
Q9FIP7	3702.AT5G46780.1
Q9CB01	3702.AT3G54840.1
Q6DBN1	3702.AT4G08455.1
Q9WUD9	10116.ENSRNOP00000012739
Q9FNC4	3702.AT5G44020.1
P70498	10116.ENSRNOP00000053831
Q9LUS2	3702.AT3G16620.1
Q8BYW9	10090.ENSMUSP00000061610
Q9SCK1	3702.AT3G49580.1
Q8GX26	3702.AT3G11150.1
Q9SZP6	3702.AT4G38690.1
Q9ZRE2	3702.AT3G11730.1
Q8WYL5	9606.ENSP00000315713
Q642A9	10116.ENSRNOP00000028821
P15153	9606.ENSP00000249071
Q9C521	3702.AT1G77610.1
Q680P8	3702.AT3G43980.1
P08621	9606.ENSP00000472998
Q9FLP9	3702.AT5G55120.1
F4IN23	3702.AT2G42380.2
Q9LRZ0	3702.AT3G16830.1
P49691	3702.AT5G02870.1
Q6P722	10116.ENSRNOP00000003999
Q1G3U6	3702.AT1G18490.1
P47754	10090.ENSMUSP00000015877
Q5FVM4	10116.ENSRNOP00000004911
Q30154	9606.ENSP00000364114
Q9SGS4	3702.AT1G76080.1
Q8LES5	3702.AT5G20030.1
Q9XFR5	3702.AT1G09140.1
Q6JBY9	9606.ENSP00000356828
Q9SY66	3702.AT1G10240.1
Q63425	10116.ENSRNOP00000024771
Q93V43	3702.AT4G18390.1
Q3ECW2	3702.AT1G47230.2
Q9LPN9	3702.AT3G10595.1
A8C4G9	10116.ENSRNOP00000061219
P82629	3702.AT4G15735.1
P0DO23	3702.AT3G18210.1
Q9C884	3702.AT1G33170.1
Q9S7A6	3702.AT3G07310.1
F4I8R6	3702.AT1G05420.1
Q00981	10116.ENSRNOP00000003248
A0JPW5	3702.AT3G21490.1
Q6PCT9	10116.ENSRNOP00000009249
P17706	9606.ENSP00000311857
Q9XI00	3702.AT1G21760.1
Q9FLK4	3702.AT5G61290.1
Q9ZU38	3702.AT2G01290.1
Q80Y24	10090.ENSMUSP00000109073
Q8LF41	3702.AT1G18340.1
Q63524	10116.ENSRNOP00000001397
O75746	9606.ENSP00000388658
Q71UE8	10116.ENSRNOP00000061284
D4A1B2	10116.ENSRNOP00000019568
P25873	3702.AT3G25920.1
P12369	10116.ENSRNOP00000012415
Q9FKA9	3702.AT5G48890.1
P55085	9606.ENSP00000296677
Q9QXQ0	10116.ENSRNOP00000027773
P12001	10116.ENSRNOP00000028555
Q9FLI0	3702.AT5G51790.1
P42930	10116.ENSRNOP00000032902
Q8S3D2	3702.AT3G21330.1
Q84WV1	3702.AT5G26360.1
Q6ZU15	9606.ENSP00000373627
P22954	3702.AT5G02490.1
Q8NDT2	9606.ENSP00000454545
P38650	10116.ENSRNOP00000066312
O80567	3702.AT2G43970.1
F1RWB6	9823.ENSSSCP00000011769
Q9Y223	9606.ENSP00000379839
Q9LPF6	3702.AT1G44750.1
Q8RXR6	3702.AT1G50280.1
Q9ZQX4	3702.AT4G02620.1
Q8RWQ8	3702.AT4G24390.1
P56536	10116.ENSRNOP00000006341
Q8GXN7	3702.AT2G38090.1
Q84MD6	3702.AT2G32960.1
Q9LXB9	3702.AT5G09540.1
Q08201	10116.ENSRNOP00000042556
F4JRR5	3702.AT4G24900.1
O00401	9606.ENSP00000223023
P06753	9606.ENSP00000357516
Q9SIJ0	3702.AT2G17180.1
Q03350	10090.ENSMUSP00000128308
Q9LZM8	3702.AT5G02030.1
O22763	3702.AT4G02640.2
Q8W206	3702.AT5G56280.1
Q3EAV6	3702.AT3G30725.1
Q9M9X4	3702.AT3G05690.1
P11507	10116.ENSRNOP00000024347
P97874	10116.ENSRNOP00000000064
P14270	10116.ENSRNOP00000067171
O22791	3702.AT2G33410.1
Q949V0	3702.AT5G51180.1
Q9JKS6	10116.ENSRNOP00000008637
P49678	3702.AT3G23030.1
Q8GYP4	3702.AT4G18630.1
C0SVJ2	3702.AT4G23860.1
P20291	10116.ENSRNOP00000001207
P05712	10116.ENSRNOP00000008522
Q9SB47	3702.AT4G24500.3
Q8GY79	3702.AT5G41070.1
Q38856	3702.AT4G19690.2
O80807	3702.AT1G65360.1
F1M155	10116.ENSRNOP00000025037
Q9JI66	10116.ENSRNOP00000004391
P63259	10116.ENSRNOP00000051859
Q8L7B5	3702.AT2G33210.1
F4IZC5	3702.AT3G56170.1
O22967	3702.AT2G34140.1
P97829	10116.ENSRNOP00000050938
Q9C6K3	3702.AT1G76880.1
Q01525	3702.AT1G78300.1
Q9M1D0	3702.AT3G60130.1
Q8LAD0	3702.AT5G60540.1
O35458	10116.ENSRNOP00000020720
Q93XW7	3702.AT3G21810.1
Q9P2X0	9606.ENSP00000357384
P60901	10116.ENSRNOP00000009666
A6NHR9	9606.ENSP00000326603
Q9JHZ4	10116.ENSRNOP00000012646
O22781	3702.AT2G33290.1
Q8H1F4	3702.AT4G08520.1
Q9FIG0	3702.AT5G59140.1
Q9ZSK2	3702.AT2G31200.1
Q7M0E3	10116.ENSRNOP00000007794
Q92636	9606.ENSP00000411012
Q5XI43	10116.ENSRNOP00000058800
Q62968	10116.ENSRNOP00000047944
Q0WTY4	3702.AT5G44560.1
Q9M035	3702.AT5G01370.1
Q9M5P7	3702.AT4G02260.1
D3ZUI5	10116.ENSRNOP00000063258
Q9LPD9	3702.AT1G44900.1
Q9FNZ2	3702.AT4G25440.1
C0LGU5	3702.AT5G45780.1
F4JAU2	3702.AT3G06290.1
Q9SS65	3702.AT3G03650.1
Q9SZE7	3702.AT4G37530.1
P05197	10116.ENSRNOP00000041821
Q9FGK0	3702.AT5G47570.1
D3ZRM9	10116.ENSRNOP00000064082
Q99PV2	10116.ENSRNOP00000027666
P11169	9606.ENSP00000075120
Q9LU59	3702.AT5G51150.1
O80837	3702.AT2G45820.1
Q9ATB4	3702.AT4G16420.1
Q9M337	3702.AT3G53890.1
Q42347	3702.AT2G36620.1
Q5FVQ4	10116.ENSRNOP00000035497
O80917	3702.AT2G38340.1
Q96C36	9606.ENSP00000342502
D3ZC56	10116.ENSRNOP00000056756
G3V802	10116.ENSRNOP00000021156
Q9ZVX4	3702.AT2G16890.2
Q8VZL6	3702.AT2G47210.1
Q39211	3702.AT2G15430.1
Q13151	9606.ENSP00000316042
Q9FFW6	3702.AT5G38550.1
Q8W4G0	3702.AT1G72340.1
O35179	10116.ENSRNOP00000008999
Q9SZ44	3702.AT4G27050.2
Q9LF61	3702.AT5G17630.1
Q9ER30	10116.ENSRNOP00000009969
P49207	9606.ENSP00000378163
Q940I8	3702.AT4G16100.1
Q08849	10116.ENSRNOP00000028535
Q9LJ50	3702.AT3G29800.1
P47999	3702.AT2G43750.1
Q4PSE3	3702.AT5G27050.1
Q4VP08	3702.AT5G43510.2
Q9SRS5	3702.AT3G07410.1
Q9LUZ4	3702.AT5G58620.1
Q9LVM5	3702.AT5G58220.1
P25977	10116.ENSRNOP00000063740
P39083	4932.YOR127W
