From	To
P24482	4932.YPR175W
P38828	4932.YHR121W
P15179	4932.YPL104W
Q9UJX2	9606.ENSP00000378350
Q3E6R5	4932.YDR381C-A
P34909	4932.YER068W
P32787	4932.YJR144W
P09435	4932.YBL075C
P34077	4932.YFR002W
P21190	4932.YJR094C
A0A023PZM3	4932.YPR050C
P14164	4932.YKL112W
Q99257	4932.YPL169C
P38630	4932.YOR217W
Q96HB5	9606.ENSP00000474071
Q12445	4932.YLR018C
P0CX45	4932.YFR031C-A
P40522	4932.YIL056W
P53195	4932.YGL005C
P38972	4932.YGR061C
Q07457	4932.YDL074C
Q03758	4932.YML111W
Q96BD8	9606.ENSP00000285116
P17883	4932.YPR189W
O95751	9606.ENSP00000359557
P37254	4932.YNR033W
Q9ULX6	9606.ENSP00000380557
P28263	4932.YEL012W
Q04199	4932.YML102W
P48567	4932.YNL292W
P38113	4932.YBR145W
P39937	4932.YER007W
P32319	4932.YBL017C
P07261	4932.YPL075W
P25559	4932.YCL016C
P32323	4932.YNR044W
P53217	4932.YGR026W
P22214	4932.YLR268W
P39709	4932.YAL067C
P33312	4932.YBR153W
Q9NVV9	9606.ENSP00000254250
P23287	4932.YLR433C
P08521	4932.YOR302W
P34166	4932.YNL145W
Q12326	4932.YOL056W
Q8NHQ1	9606.ENSP00000264982
P36112	4932.YKR016W
P39971	4932.YEL076C
P53878	4932.YNL181W
Q02792	4932.YOR048C
P27616	4932.YAR015W
Q02863	4932.YPL072W
Q12267	4932.YLR086W
Q02159	4932.YMR022W
Q08058	4932.YOL008W
Q02888	4932.YPL099C
Q9BQY4	9606.ENSP00000360441
Q02457	4932.YPL128C
O43791	9606.ENSP00000377001
P32381	4932.YDL029W
P36044	4932.YKL201C
P27810	4932.YOR099W
P00815	4932.YCL030C
P40056	4932.YER083C
Q07791	4932.YDR261W-B
P14904	4932.YKL103C
P53128	4932.YGL125W
P53264	4932.YGR110W
Q05473	4932.YDR336W
Q12433	4932.YOR023C
Q05635	4932.YDR279W
P50087	4932.YGR235C
Q9BUY5	9606.ENSP00000439017
P08465	4932.YNL277W
P57743	4932.YLR438C-A
P53833	4932.YNL282W
Q03653	4932.YMR212C
P53980	4932.YNL011C
P27636	4932.YAR019C
P40187	4932.YIL045W
Q04301	4932.YMR088C
P54786	4932.YML109W
Q08686	4932.YOR251C
P38929	4932.YGL006W
P47181	4932.YJR154W
P43605	4932.YFR027W
Q03735	4932.YML117W
P13130	4932.YHR139C
P25621	4932.YCR028C
P20606	4932.YPL218W
P14743	4932.YLR195C
P39551	4932.YAR031W
P53249	4932.YGR079W
P29461	4932.YOR208W
P38081	4932.YBR056W
P32561	4932.YNL330C
P36143	4932.YKR058W
P13188	4932.YOR168W
P0C2H8	4932.YDL075W
Q08966	4932.YPL219W
P80235	4932.YAR035W
P40957	4932.YGL086W
P25046	4932.YBL093C
Q9C0F1	9606.ENSP00000389427
Q07825	4932.YLL029W
P53327	4932.YGR271W
Q04410	4932.YDR517W
P08432	4932.YKL184W
Q06147	4932.YLR260W
P47026	4932.YJL091C
P0C074	4932.YNL138W-A
P40478	4932.YIL114C
P53941	4932.YNL075W
Q03465	4932.YDL020C
P40989	4932.YGR032W
P25502	4932.YKL015W
Q06103	4932.YPR108W
P38308	4932.YBR203W
P38162	4932.YBL107C
P27351	4932.YJR005W
P38072	4932.YBR024W
P53237	4932.YGR057C
P54072	4932.YLR152C
P32351	4932.YIL154C
P32799	4932.YGL191W
P40493	4932.YIL096C
P40505	4932.YIL084C
Q04119	4932.YDR452W
P34241	4932.YKL014C
P22135	4932.YJL180C
Q12235	4932.YLL055W
P53903	4932.YNL149C
P53087	4932.YGL214W
P39734	4932.YAL028W
Q99318	4932.YOR318C
P36150	4932.YKR069W
Q04533	4932.YML082W
P53823	4932.YNL334C
P23059	4932.YCR020C-A
P38221	4932.YBR029C
P36006	4932.YKL129C
P02406	4932.YGL103W
P21306	4932.YPL271W
Q99339	4932.YLL065W
O00444	9606.ENSP00000270861
O43765	9606.ENSP00000221566
P38852	4932.YHR156C
Q9URQ5	4932.YCR020W-B
Q06340	4932.YDR363W
Q9FHW7	3702.AT5G42190.1
P53256	4932.YGR095C
Q12463	4932.YOL124C
P36080	4932.YKL082C
P18412	4932.YBR083W
P38845	4932.YHR146W
Q08995	4932.YPR204W
P49573	4932.YPR124W
P38142	4932.YBR241C
P00360	4932.YJL052W
P39953	4932.YEL006W
P24867	4932.YNL289W
P53039	4932.YGR172C
P46670	4932.YPL241C
P53832	4932.YNL283C
Q04893	4932.YMR317W
P05739	4932.YLR448W
Q00955	4932.YNR016C
P47180	4932.YJR153W
Q07732	4932.YDL239C
P25611	4932.YCR106W
P46974	4932.YJR127C
P39692	4932.YFR030W
P38622	4932.YGL158W
Q08558	4932.YOR180C
Q99188	4932.YOR107W
P34246	4932.YKL098W
Q12270	4932.YPL246C
P43622	4932.YFR054C
P00359	4932.YGR192C
Q05926	4932.YLR364W
